Med	Gen	Rep	Perm	FY
1	1	1	1	1.26
1	1	2	2	1.66
1	1	3	3	1.14
1	1	4	4	1.87
1	2	1	5	4.31
1	2	2	6	2.49
1	2	3	7	1.58
1	2	4	8	3
1	3	1	9	3.56
1	3	2	10	0.53
1	3	3	11	1.71
1	3	4	12	5.49
1	4	1	13	4.64
1	4	2	14	2.35
1	4	3	15	4.26
1	4	4	16	4.22
1	5	1	17	2.47
1	5	2	18	0.84
1	5	3	19	3.89
1	5	4	20	2.91
1	6	1	21	2
1	6	2	22	2.74
1	6	3	23	0.94
1	6	4	24	1.54
1	7	1	25	0.88
1	7	2	26	0.31
1	7	3	27	2.48
1	7	4	28	1.29
1	8	1	29	0.92
1	8	2	30	0.98
1	8	3	31	0.54
1	8	4	32	1.36
1	9	1	33	0.03
1	9	2	34	NA
1	9	3	35	NA
1	9	4	36	0.1
1	10	1	37	0.29
1	10	2	38	2.25
1	10	3	39	2.8
1	10	4	40	NA
1	11	1	41	1.84
1	11	2	42	2.55
1	11	3	43	3.48
1	11	4	44	1.8
1	12	1	45	0.98
1	12	2	46	0.45
1	12	3	47	0.2
1	12	4	48	0.08
1	13	1	49	2.24
1	13	2	50	1.81
1	13	3	51	3.19
1	13	4	52	3.4
1	14	1	53	2.17
1	14	2	54	1.88
1	14	3	55	2.44
1	14	4	56	2.65
1	15	1	57	3.34
1	15	2	58	2.66
1	15	3	59	3.65
1	15	4	60	3.25
1	16	1	61	2.13
1	16	2	62	4.46
1	16	3	63	1.81
1	16	4	64	1.59
1	17	1	65	0.56
1	17	2	66	3.85
1	17	3	67	4.2
1	17	4	68	3.52
1	18	1	69	4.84
1	18	2	70	3.35
1	18	3	71	0.5
1	18	4	72	2.5
1	19	1	73	2.69
1	19	2	74	2.88
1	19	3	75	2.72
1	19	4	76	0.06
1	20	1	77	1.83
1	20	2	78	2.22
1	20	3	79	0.47
1	20	4	80	0.11
1	21	1	81	1.28
1	21	2	82	0.34
1	21	3	83	NA
1	21	4	84	0.31
1	22	1	85	2.31
1	22	2	86	3.56
1	22	3	87	3.04
1	22	4	88	0.06
1	23	1	89	5.5
1	23	2	90	2.35
1	23	3	91	5.73
1	23	4	92	3.49
1	24	1	93	0.94
1	24	2	94	2.34
1	24	3	95	0.48
1	24	4	96	NA
2	1	1	1	1.55
2	1	2	2	2.14
2	1	3	3	5.07
2	1	4	4	2.86
2	2	1	5	1.14
2	2	2	6	1.19
2	2	3	7	1.41
